timestamp,battery_percent,power_plugged,cpu_usage_percent,memory_usage_percent
2026-02-24 13:49:02,86,0,16.8,67.7
2026-02-24 13:49:13,86,0,11.3,66.9
2026-02-24 13:49:25,86,0,11.1,66.8
2026-02-24 13:49:36,86,0,18.6,66.0
2026-02-24 13:49:47,86,0,48.8,67.3
2026-02-24 13:49:58,85,0,4.6,66.7
2026-02-24 13:50:09,85,0,10.4,66.3
2026-02-24 13:50:20,85,0,15.4,65.8
2026-02-24 13:50:31,85,0,13.3,65.5
2026-02-24 13:50:42,85,0,17.0,66.1
2026-02-24 13:50:53,85,0,11.1,67.5
2026-02-24 13:51:04,85,0,11.2,67.3
2026-02-24 13:51:15,85,0,5.2,67.2
2026-02-24 13:51:26,85,0,20.1,66.0
2026-02-24 13:51:37,85,0,15.7,65.6
2026-02-24 13:51:48,85,0,9.3,65.4
2026-02-24 13:51:59,85,0,13.9,66.1
2026-02-24 13:52:10,84,0,12.9,65.9
2026-02-24 13:52:21,84,0,21.9,65.8
2026-02-24 13:52:32,84,0,10.1,66.1
2026-02-24 13:52:43,84,0,17.8,66.3
2026-02-24 13:52:54,84,0,12.1,66.1
2026-02-24 13:53:05,84,0,13.4,66.2
2026-02-24 13:53:16,84,0,13.1,67.1
2026-02-24 13:53:27,84,0,21.8,66.4
2026-02-24 13:53:38,84,0,6.6,66.7
2026-02-24 13:53:49,84,0,32.1,67.4
2026-02-24 13:54:00,83,0,41.4,68.1
2026-02-24 13:54:11,83,0,13.2,66.9
2026-02-24 13:54:22,83,0,31.7,67.2
2026-02-24 13:54:33,83,0,14.2,66.7
2026-02-24 13:54:44,83,0,32.9,67.4
2026-02-24 13:54:55,83,0,32.1,66.8
2026-02-24 13:55:06,83,0,17.7,66.1
2026-02-24 13:55:17,83,0,20.9,66.4
2026-02-24 13:55:28,83,0,27.5,65.7
2026-02-24 13:55:39,82,0,5.0,64.7
2026-02-24 13:55:50,82,0,17.2,64.7
2026-02-24 13:56:01,82,0,28.4,64.9
2026-02-24 13:56:12,82,0,13.8,64.9
2026-02-24 13:56:23,82,0,27.9,64.5
2026-02-24 13:56:34,82,0,16.3,64.1
2026-02-24 13:56:45,82,0,17.8,64.0
2026-02-24 13:56:56,82,0,19.0,64.0
2026-02-24 13:57:07,82,0,18.8,64.0
2026-02-24 13:57:18,82,0,17.4,64.0
2026-02-24 13:57:29,82,0,20.2,63.8
2026-02-24 13:57:40,82,0,15.2,63.9
2026-02-24 13:57:51,82,0,10.0,64.2
2026-02-24 13:58:02,82,0,17.3,63.9
2026-02-24 13:58:13,81,0,20.4,64.0
2026-02-24 13:58:24,81,0,12.3,64.2
2026-02-24 13:58:35,81,0,3.9,64.0
2026-02-24 13:58:46,81,0,27.7,64.2
2026-02-24 13:58:57,81,0,38.6,64.3
2026-02-24 13:59:08,81,0,18.1,64.2
2026-02-24 13:59:19,81,0,21.9,64.1
2026-02-24 13:59:30,81,0,20.6,64.0
2026-02-24 13:59:41,81,0,17.6,63.8
2026-02-24 13:59:52,81,0,24.3,64.1
2026-02-24 14:00:03,81,0,14.5,63.9
2026-02-24 14:00:14,81,0,29.4,64.1
2026-02-24 14:00:25,80,0,24.3,64.1
2026-02-24 14:00:36,80,0,11.9,61.3
2026-02-24 14:00:47,80,0,24.0,61.8
2026-02-24 14:00:58,80,0,20.8,62.4
2026-02-24 14:01:09,80,0,3.8,62.5
2026-02-24 14:01:20,80,0,16.9,62.4
2026-02-24 14:01:31,80,0,30.1,62.5
2026-02-24 14:01:42,80,0,8.0,62.0
2026-02-24 14:01:53,80,0,12.9,61.0
2026-02-24 14:02:04,80,0,10.2,60.9
2026-02-24 14:02:15,79,0,3.5,61.5
2026-02-24 14:02:26,79,0,6.9,62.0
2026-02-24 14:02:37,79,0,2.3,61.6
2026-02-24 14:02:48,79,0,27.3,64.1
2026-02-24 14:02:59,79,0,19.1,64.1
2026-02-24 14:03:10,79,0,20.4,63.9
2026-02-24 14:03:21,79,0,8.0,63.9
2026-02-24 14:03:32,79,0,22.0,63.7
2026-02-24 14:03:43,79,0,7.7,63.5
2026-02-24 14:03:54,79,0,18.7,63.7
2026-02-24 14:04:05,78,0,5.7,63.6
2026-02-24 14:04:16,78,0,18.6,62.9
2026-02-24 14:04:27,78,0,17.5,62.9
2026-02-24 14:04:38,78,0,13.4,63.1
2026-02-24 14:04:49,78,0,24.4,63.3
2026-02-24 14:05:00,78,0,16.5,62.8
2026-02-24 14:05:11,78,0,11.3,62.8
2026-02-24 14:05:22,78,0,27.3,63.7
2026-02-24 14:05:33,78,0,28.2,60.9
2026-02-24 14:05:44,78,0,18.8,60.9
2026-02-24 14:05:55,77,0,27.4,60.7
2026-02-24 14:06:06,77,0,28.0,61.1
2026-02-24 14:06:17,77,0,33.7,61.0
2026-02-24 14:06:28,77,0,28.9,62.2
2026-02-24 14:06:39,77,0,40.4,63.8
2026-02-24 14:06:50,77,0,28.4,63.5
2026-02-24 14:07:01,77,0,25.0,63.0
2026-02-24 14:07:12,77,0,22.7,63.2
2026-02-24 14:07:23,77,0,17.3,62.9
2026-02-24 14:07:34,76,0,25.3,63.1
2026-02-24 14:07:45,76,0,35.1,63.3
2026-02-24 14:07:56,76,0,33.3,63.1
2026-02-24 14:08:07,76,0,24.5,62.8
2026-02-24 14:08:18,76,0,11.1,62.9
2026-02-24 14:08:29,76,0,37.5,64.0
2026-02-24 14:08:40,76,0,52.7,65.3
2026-02-24 14:08:51,76,0,22.7,64.6
2026-02-24 14:09:02,76,0,16.3,64.5
2026-02-24 14:09:13,75,0,17.4,64.5
2026-02-24 14:09:24,75,0,5.4,64.3
2026-02-24 14:09:35,75,0,15.0,64.3
2026-02-24 14:09:46,75,0,28.2,65.0
2026-02-24 14:09:57,75,0,3.4,64.5
2026-02-24 14:10:08,75,0,16.0,64.5
2026-02-24 14:10:19,75,0,8.7,63.7
2026-02-24 14:10:30,75,0,26.9,64.3
2026-02-24 14:10:41,75,0,17.8,63.2
2026-02-24 14:10:52,75,0,27.4,62.9
2026-02-24 14:11:03,74,0,14.7,62.1
2026-02-24 14:11:14,74,0,13.0,62.2
2026-02-24 14:11:25,74,0,28.9,62.8
2026-02-24 14:11:36,74,0,9.3,63.2
2026-02-24 14:11:47,74,0,7.9,63.0
2026-02-24 14:11:58,74,0,6.4,63.0
2026-02-24 14:12:09,74,0,18.8,62.7
2026-02-24 14:12:21,74,0,19.1,62.5
2026-02-24 14:12:32,74,0,11.8,62.4
